steroid,subject,matrix,condition,concentration
t,juv_3,nac,con,NA
t,juv_7,nac,con,NA
t,juv_9,nac,con,NA
t,juv_12,nac,con,NA
t,sg_88,nac,con,NA
t,sg_90,nac,con,NA
t,sg_93,nac,con,NA
t,sg_94,nac,con,NA
t,sg_12,nac,con,NA
t,sg_18,nac,con,NA
t,juv_4,nac,sti,0.0967433508477144
t,juv_5,nac,sti,0.0915689513142383
t,juv_6,nac,sti,0.103262318441035
t,cj_124,nac,sti,0.0346842433489414
t,juv_10,nac,sti,0.0996453426832058
t,juv_11,nac,sti,0.086
t,juv_14,nac,sti,0.229
t,sg_20,nac,sti,0.0634793924681524
t,sg_21,nac,sti,0.102809017939206
t,sg_22,nac,sti,0.0693445709936686
t,sg_31,nac,sti,0.0579627326465823
t,sg_36,nac,sti,0.0907264949115556
t,sg_48,nac,sti,0.478
t,juv_15,nac,sti,0.102604732891603
t,sg_14,nac,sti,0.0307249974134718
ae,juv_1,ncm,con,NA
ae,juv_3,ncm,con,NA
ae,juv_7,ncm,con,NA
ae,juv_9,ncm,con,NA
ae,juv_12,ncm,con,NA
ae,sg_88,ncm,con,NA
ae,sg_90,ncm,con,NA
ae,sg_93,ncm,con,NA
ae,sg_94,ncm,con,NA
ae,sg_12,ncm,con,NA
ae,sg_18,ncm,con,NA
ae,juv_4,ncm,sti,NA
ae,juv_5,ncm,sti,NA
ae,juv_6,ncm,sti,NA
ae,juv_10,ncm,sti,NA
ae,juv_11,ncm,sti,NA
ae,juv_14,ncm,sti,NA
ae,sg_20,ncm,sti,NA
ae,sg_21,ncm,sti,NA
ae,sg_22,ncm,sti,NA
ae,sg_31,ncm,sti,NA
ae,sg_36,ncm,sti,NA
ae,sg_48,ncm,sti,NA
ae,juv_15,ncm,sti,NA
ae,sg_14,ncm,sti,NA
b,juv_1,ncm,con,1.61
b,juv_3,ncm,con,1.096
b,juv_7,ncm,con,2.551
b,juv_9,ncm,con,3.534
b,juv_12,ncm,con,1.681
b,sg_88,ncm,con,1.212
b,sg_90,ncm,con,1.101
b,sg_93,ncm,con,0.944
b,sg_94,ncm,con,0.367
b,sg_12,ncm,con,2.115
b,sg_18,ncm,con,2.684
b,juv_4,ncm,sti,3.822
b,juv_5,ncm,sti,2.988
b,juv_6,ncm,sti,3.341
b,cj_124,ncm,sti,0.875
b,juv_10,ncm,sti,1.613
b,juv_11,ncm,sti,3.657
b,juv_14,ncm,sti,3.351
b,sg_20,ncm,sti,3.37
b,sg_21,ncm,sti,5.604
b,sg_22,ncm,sti,3.409
b,sg_31,ncm,sti,6.429
b,sg_36,ncm,sti,5.609
b,sg_48,ncm,sti,5.505
b,juv_15,ncm,sti,5.085
b,sg_14,ncm,sti,2.684
dhc,juv_1,ncm,con,0.147619048
dhc,juv_3,ncm,con,0.060544218
dhc,juv_7,ncm,con,0.065306122
dhc,juv_9,ncm,con,0.132653061
dhc,juv_12,ncm,con,0.068027211
dhc,sg_88,ncm,con,0.071428571
dhc,sg_90,ncm,con,0.065986395
dhc,sg_93,ncm,con,0.023809524
dhc,sg_94,ncm,con,0.049659864
dhc,sg_12,ncm,con,0.070068027
dhc,sg_18,ncm,con,0.165986395
dhc,juv_4,ncm,sti,0.165306122
dhc,juv_5,ncm,sti,0.051020408
dhc,juv_6,ncm,sti,0.131972789
dhc,cj_124,ncm,sti,0.0207448472828782
dhc,juv_10,ncm,sti,0.099319728
dhc,juv_11,ncm,sti,0.072789116
dhc,juv_14,ncm,sti,0.054421769
dhc,sg_20,ncm,sti,0.080952381
dhc,sg_21,ncm,sti,0.045578231
dhc,sg_22,ncm,sti,0.053741497
dhc,sg_31,ncm,sti,0.102040816
dhc,sg_36,ncm,sti,0.089795918
dhc,sg_48,ncm,sti,0.074829932
dhc,juv_15,ncm,sti,0.088435374
dhc,sg_14,ncm,sti,0.039455782
p4,juv_1,ncm,con,NA
p4,juv_3,ncm,con,NA
p4,juv_7,ncm,con,NA
p4,juv_9,ncm,con,NA
p4,juv_12,ncm,con,NA
p4,sg_88,ncm,con,NA
p4,sg_90,ncm,con,NA
p4,sg_93,ncm,con,NA
p4,sg_94,ncm,con,NA
p4,sg_12,ncm,con,NA
p4,sg_18,ncm,con,NA
p4,juv_4,ncm,sti,0.035
p4,juv_5,ncm,sti,0.0236864824536241
p4,juv_6,ncm,sti,0.0264619967395796
p4,cj_124,ncm,sti,0.00986290376745323
p4,juv_10,ncm,sti,0.0150655256504244
p4,juv_11,ncm,sti,0.0113051018554555
p4,juv_14,ncm,sti,0.00718208681460547
p4,sg_20,ncm,sti,0.063
p4,sg_21,ncm,sti,0.069
p4,sg_22,ncm,sti,0.00842960100612286
p4,sg_31,ncm,sti,0.113
p4,sg_36,ncm,sti,0.0328532449528704
p4,sg_48,ncm,sti,0.0244270926509439
p4,juv_15,ncm,sti,0.0414354483898823
p4,sg_14,ncm,sti,0.0120306087788388
t,juv_1,ncm,con,0.0170743779253462
t,juv_3,ncm,con,0.0167281853875774
t,juv_7,ncm,con,0.0124078286339942
t,juv_9,ncm,con,0.00389408548218283
t,juv_12,ncm,con,0.016
t,sg_88,ncm,con,0.0154180276442407
t,sg_90,ncm,con,0.41
t,sg_93,ncm,con,0.0168134945314185
t,sg_94,ncm,con,0.02
t,sg_12,ncm,con,0.0141235442442459
t,sg_18,ncm,con,0.064
t,juv_4,ncm,sti,0.00182739047776774
t,juv_5,ncm,sti,0.0119523051923555
t,juv_6,ncm,sti,0.018
t,juv_10,ncm,sti,0.00917205365561523
t,juv_11,ncm,sti,0.0147712286709815
t,juv_14,ncm,sti,0.024
t,sg_20,ncm,sti,0.0158436110281009
t,sg_21,ncm,sti,0.488
t,sg_22,ncm,sti,0.015
t,sg_31,ncm,sti,0.0010803615204055
t,sg_36,ncm,sti,0.00830969385563577
t,sg_48,ncm,sti,0.021
t,juv_15,ncm,sti,0.014059046777729
t,sg_14,ncm,sti,0.0100275490676286
ae,juv_1,plasma,con,NA
ae,juv_3,plasma,con,NA
ae,juv_7,plasma,con,NA
ae,juv_9,plasma,con,NA
ae,juv_12,plasma,con,NA
ae,sg_88,plasma,con,NA
ae,sg_90,plasma,con,NA
ae,sg_93,plasma,con,NA
ae,sg_94,plasma,con,NA
ae,sg_12,plasma,con,NA
ae,sg_18,plasma,con,NA
ae,juv_4,plasma,sti,NA
ae,juv_5,plasma,sti,NA
ae,juv_6,plasma,sti,NA
ae,juv_10,plasma,sti,NA
ae,juv_11,plasma,sti,NA
ae,juv_14,plasma,sti,NA
ae,sg_20,plasma,sti,NA
ae,sg_21,plasma,sti,NA
ae,sg_22,plasma,sti,NA
ae,sg_31,plasma,sti,NA
ae,sg_36,plasma,sti,NA
ae,sg_48,plasma,sti,NA
ae,juv_15,plasma,sti,NA
ae,sg_14,plasma,sti,NA
b,juv_1,plasma,con,5.3716
b,juv_3,plasma,con,0.3361
b,juv_7,plasma,con,6.2565
b,juv_9,plasma,con,8.051
b,juv_12,plasma,con,6.5408
b,sg_88,plasma,con,3.2072
b,sg_90,plasma,con,1.2794
b,sg_93,plasma,con,2.9721
b,sg_94,plasma,con,1.0635
b,sg_12,plasma,con,6.7395
b,sg_18,plasma,con,3.2974
b,juv_4,plasma,sti,11.36
b,juv_5,plasma,sti,11.661
b,juv_6,plasma,sti,5.39
b,juv_10,plasma,sti,3.589
b,juv_11,plasma,sti,7.304
b,juv_14,plasma,sti,6.198
b,sg_20,plasma,sti,7.178
b,sg_21,plasma,sti,31.903
b,sg_22,plasma,sti,11.443
b,sg_31,plasma,sti,11.198
b,sg_36,plasma,sti,15.572
b,sg_48,plasma,sti,19.33
b,juv_15,plasma,sti,19.955
b,sg_14,plasma,sti,4.82
dhc,juv_1,plasma,con,0.6709
dhc,juv_3,plasma,con,0.4049
dhc,juv_7,plasma,con,0.8394
dhc,juv_9,plasma,con,0.7784
dhc,juv_12,plasma,con,0.9453
dhc,sg_88,plasma,con,0.678
dhc,sg_90,plasma,con,0.5063
dhc,sg_93,plasma,con,0.7672
dhc,sg_94,plasma,con,0.233
dhc,sg_12,plasma,con,1.5822
dhc,sg_18,plasma,con,0.6043
dhc,juv_4,plasma,sti,1.7441
dhc,juv_5,plasma,sti,1.0327
dhc,juv_6,plasma,sti,0.7353
dhc,juv_10,plasma,sti,0.928
dhc,juv_11,plasma,sti,1.3514
dhc,juv_14,plasma,sti,2.2152
dhc,sg_20,plasma,sti,1.2778
dhc,sg_21,plasma,sti,3.4783
dhc,sg_22,plasma,sti,1.4831
dhc,sg_31,plasma,sti,1.0867
dhc,sg_36,plasma,sti,2.5721
dhc,sg_48,plasma,sti,1.8593
dhc,juv_15,plasma,sti,2.8966
dhc,sg_14,plasma,sti,2.4507
p4,juv_1,plasma,con,0.14
p4,juv_3,plasma,con,0.024
p4,juv_7,plasma,con,0.236
p4,juv_9,plasma,con,1.064
p4,juv_12,plasma,con,0.133
p4,sg_88,plasma,con,0.1
p4,sg_90,plasma,con,0.474
p4,sg_93,plasma,con,0.066
p4,sg_94,plasma,con,0.064
p4,sg_12,plasma,con,0.827
p4,sg_18,plasma,con,0.065
p4,juv_4,plasma,sti,0.779
p4,juv_5,plasma,sti,0.274
p4,juv_6,plasma,sti,0.315
p4,cj_124,plasma,sti,0.123
p4,juv_10,plasma,sti,0.101
p4,juv_11,plasma,sti,0.096
p4,juv_14,plasma,sti,0.222
p4,sg_20,plasma,sti,0.823
p4,sg_21,plasma,sti,4.651
p4,sg_22,plasma,sti,1.661
p4,sg_31,plasma,sti,0.591
p4,sg_36,plasma,sti,0.328
p4,sg_48,plasma,sti,1.057
p4,juv_15,plasma,sti,0.501
p4,sg_14,plasma,sti,0.442
t,juv_1,plasma,con,NA
t,juv_3,plasma,con,NA
t,juv_7,plasma,con,NA
t,juv_9,plasma,con,NA
t,juv_12,plasma,con,NA
t,sg_88,plasma,con,NA
t,sg_90,plasma,con,NA
t,sg_93,plasma,con,NA
t,sg_94,plasma,con,NA
t,sg_12,plasma,con,NA
t,sg_18,plasma,con,NA
t,juv_4,plasma,sti,0.000851436816094898
t,juv_5,plasma,sti,0.00193454939914463
t,juv_6,plasma,sti,0.00184938000027763
t,juv_10,plasma,sti,0.002
t,juv_11,plasma,sti,0.000542306307096108
t,juv_14,plasma,sti,0.00196330931048482
t,sg_20,plasma,sti,0.005
t,sg_21,plasma,sti,0.007
t,sg_22,plasma,sti,0.00199877426834412
t,sg_31,plasma,sti,0.00176147761442533
t,sg_36,plasma,sti,0.00199595189351199
t,sg_48,plasma,sti,0.000818638284821257
t,juv_15,plasma,sti,0.002
t,sg_14,plasma,sti,0.012
ae,juv_1,poa,con,NA
ae,juv_3,poa,con,NA
ae,juv_7,poa,con,NA
ae,juv_9,poa,con,NA
ae,juv_12,poa,con,NA
ae,sg_88,poa,con,NA
ae,sg_90,poa,con,NA
ae,sg_93,poa,con,NA
ae,sg_94,poa,con,NA
ae,sg_12,poa,con,NA
ae,sg_18,poa,con,NA
ae,juv_4,poa,sti,NA
ae,juv_5,poa,sti,NA
ae,juv_6,poa,sti,NA
ae,cj_124,poa,sti,NA
ae,juv_10,poa,sti,NA
ae,juv_11,poa,sti,NA
ae,juv_14,poa,sti,NA
ae,sg_20,poa,sti,NA
ae,sg_21,poa,sti,NA
ae,sg_22,poa,sti,NA
ae,sg_31,poa,sti,NA
ae,sg_36,poa,sti,NA
ae,sg_48,poa,sti,NA
ae,juv_15,poa,sti,NA
ae,sg_14,poa,sti,NA
b,juv_1,poa,con,0.946
b,juv_3,poa,con,0.3
b,juv_7,poa,con,1.266
b,juv_9,poa,con,1.496
b,juv_12,poa,con,0.798
b,sg_88,poa,con,0.391
b,sg_90,poa,con,0.322
b,sg_93,poa,con,0.493
b,sg_94,poa,con,0.162
b,sg_12,poa,con,0.862
b,sg_18,poa,con,0.724
b,juv_4,poa,sti,3.09
b,juv_5,poa,sti,2.023
b,juv_6,poa,sti,1.502
b,cj_124,poa,sti,1.644
b,juv_10,poa,sti,0.816
b,juv_11,poa,sti,2.19
b,juv_14,poa,sti,1.701
b,sg_20,poa,sti,2.01
b,sg_21,poa,sti,3.84
b,sg_22,poa,sti,2.484
b,sg_31,poa,sti,2.419
b,sg_36,poa,sti,4.844
b,sg_48,poa,sti,3.136
b,juv_15,poa,sti,1.929
b,sg_14,poa,sti,1.82
dhc,juv_1,poa,con,0.118367347
dhc,juv_3,poa,con,0.040816327
dhc,juv_7,poa,con,0.068367347
dhc,juv_9,poa,con,0.042857143
dhc,juv_12,poa,con,0.0375137743668825
dhc,sg_88,poa,con,0.036734694
dhc,sg_90,poa,con,0.0353266234895789
dhc,sg_93,poa,con,0.0297166318219948
dhc,sg_94,poa,con,0.0335674284642383
dhc,sg_12,poa,con,0.0274198672030272
dhc,sg_18,poa,con,0.0371468367834463
dhc,juv_4,poa,sti,0.1
dhc,juv_5,poa,sti,0.074489796
dhc,juv_6,poa,sti,0.078571429
dhc,cj_124,poa,sti,0.0419933228952639
dhc,juv_10,poa,sti,0.070408163
dhc,juv_11,poa,sti,0.097959184
dhc,juv_14,poa,sti,0.045918367
dhc,sg_20,poa,sti,0.03877551
dhc,sg_21,poa,sti,0.0423793014804029
dhc,sg_22,poa,sti,0.067346939
dhc,sg_31,poa,sti,0.096938776
dhc,sg_36,poa,sti,0.044897959
dhc,sg_48,poa,sti,0.041836735
dhc,juv_15,poa,sti,0.047959184
dhc,sg_14,poa,sti,0.114285714
p4,juv_1,poa,con,NA
p4,juv_3,poa,con,NA
p4,juv_7,poa,con,NA
p4,juv_9,poa,con,NA
p4,juv_12,poa,con,NA
p4,sg_88,poa,con,NA
p4,sg_90,poa,con,NA
p4,sg_93,poa,con,NA
p4,sg_94,poa,con,NA
p4,sg_12,poa,con,NA
p4,sg_18,poa,con,NA
p4,juv_4,poa,sti,0.063
p4,juv_5,poa,sti,0.0615522417355334
p4,juv_6,poa,sti,0.0370769719237435
p4,cj_124,poa,sti,0.0334338563443673
p4,juv_10,poa,sti,0.0715385990133984
p4,juv_11,poa,sti,0.108
p4,juv_14,poa,sti,0.0711603961946783
p4,sg_20,poa,sti,0.0715779561818593
p4,sg_21,poa,sti,0.157
p4,sg_22,poa,sti,0.0706390688482075
p4,sg_31,poa,sti,0.0712860566116352
p4,sg_36,poa,sti,0.098
p4,sg_48,poa,sti,0.0676900187931608
p4,juv_15,poa,sti,0.0543972150011365
p4,sg_14,poa,sti,0.0428145217186579
t,juv_1,poa,con,0.0385774301298637
t,juv_3,poa,con,0.058
t,juv_7,poa,con,0.0247397276103769
t,juv_9,poa,con,0.0299446309083551
t,juv_12,poa,con,0.0366502687160524
t,sg_88,poa,con,0.0379322577270799
t,sg_90,poa,con,0.057
t,sg_93,poa,con,0.0378057618855814
t,sg_94,poa,con,0.038573906077628
t,sg_12,poa,con,0.0374123403066543
t,sg_18,poa,con,0.035
t,juv_4,poa,sti,0.0249814993339002
t,juv_5,poa,sti,0.020338333510418
t,juv_6,poa,sti,0.0202562431279848
t,cj_124,poa,sti,0.0126115436166809
t,juv_10,poa,sti,0.0252870812530295
t,juv_11,poa,sti,0.036
t,juv_14,poa,sti,0.048
t,sg_20,poa,sti,0.0155898242901195
t,sg_21,poa,sti,0.0254251946001093
t,sg_22,poa,sti,0.022
t,sg_31,poa,sti,0.0116109319662344
t,sg_36,poa,sti,0.0145507667684195
t,sg_48,poa,sti,0.0254082020477234
t,juv_15,poa,sti,0.018148133283952
t,sg_14,poa,sti,0.046
ae,juv_3,tna,con,NA
ae,juv_7,tna,con,NA
ae,juv_9,tna,con,NA
ae,juv_12,tna,con,NA
ae,sg_88,tna,con,NA
ae,sg_90,tna,con,NA
ae,sg_93,tna,con,NA
ae,sg_94,tna,con,NA
ae,sg_12,tna,con,NA
ae,sg_18,tna,con,NA
ae,juv_4,tna,sti,NA
ae,juv_5,tna,sti,NA
ae,juv_6,tna,sti,NA
ae,juv_10,tna,sti,NA
ae,juv_11,tna,sti,NA
ae,juv_14,tna,sti,NA
ae,sg_20,tna,sti,NA
ae,sg_21,tna,sti,NA
ae,sg_22,tna,sti,NA
ae,sg_31,tna,sti,NA
ae,sg_36,tna,sti,NA
ae,sg_48,tna,sti,NA
ae,juv_15,tna,sti,NA
ae,sg_14,tna,sti,NA
b,juv_3,tna,con,1.267
b,juv_7,tna,con,2.634
b,juv_9,tna,con,2.944
b,juv_12,tna,con,1.688
b,sg_88,tna,con,1.172
b,sg_90,tna,con,0.839
b,sg_93,tna,con,0.983
b,sg_94,tna,con,0.599
b,sg_12,tna,con,2.167
b,sg_18,tna,con,1.052
b,juv_4,tna,sti,1.007
b,juv_5,tna,sti,2.795
b,juv_6,tna,sti,2.035
b,cj_124,tna,sti,1.667
b,juv_10,tna,sti,1.339
b,juv_11,tna,sti,3.022
b,juv_14,tna,sti,3.492
b,sg_20,tna,sti,2.962
b,sg_21,tna,sti,1.815
b,sg_22,tna,sti,3.658
b,sg_31,tna,sti,4.471
b,sg_36,tna,sti,3.796
b,sg_48,tna,sti,3.575
b,juv_15,tna,sti,4.876
b,sg_14,tna,sti,2.83
dhc,juv_3,tna,con,0.0185125847083777
dhc,juv_7,tna,con,0.034013605
dhc,juv_9,tna,con,0.0370710706907185
dhc,juv_12,tna,con,0.0370680752947188
dhc,sg_88,tna,con,0.0230073795640647
dhc,sg_90,tna,con,0.026469068572892
dhc,sg_93,tna,con,0.0188090908381999
dhc,sg_94,tna,con,0.0126054390785777
dhc,sg_12,tna,con,0.052380952
dhc,sg_18,tna,con,0.0367069339362693
dhc,juv_4,tna,sti,0.027891156
dhc,juv_5,tna,sti,0.0260981042513283
dhc,juv_6,tna,sti,0.0242474881987758
dhc,cj_124,tna,sti,0.0250557208041063
dhc,juv_10,tna,sti,0.03877551
dhc,juv_11,tna,sti,0.02591011900842
dhc,juv_14,tna,sti,0.065306122
dhc,sg_20,tna,sti,0.036734694
dhc,sg_21,tna,sti,0.02244898
dhc,sg_22,tna,sti,0.027210884
dhc,sg_31,tna,sti,0.057823129
dhc,sg_36,tna,sti,0.036054422
dhc,sg_48,tna,sti,0.05170068
dhc,juv_15,tna,sti,0.057142857
dhc,sg_14,tna,sti,0.0253970826365179
p4,juv_3,tna,con,NA
p4,juv_7,tna,con,NA
p4,juv_9,tna,con,NA
p4,juv_12,tna,con,NA
p4,sg_88,tna,con,NA
p4,sg_90,tna,con,NA
p4,sg_93,tna,con,NA
p4,sg_94,tna,con,NA
p4,sg_12,tna,con,NA
p4,sg_18,tna,con,NA
p4,juv_4,tna,sti,0.036
p4,juv_5,tna,sti,0.03029727751131
p4,juv_6,tna,sti,0.034
p4,cj_124,tna,sti,0.018384244767404
p4,juv_10,tna,sti,0.0152696099557273
p4,juv_11,tna,sti,0.0347408456356056
p4,juv_14,tna,sti,0.0240884145720873
p4,sg_20,tna,sti,0.058
p4,sg_21,tna,sti,0.059
p4,sg_22,tna,sti,0.0139190828436843
p4,sg_31,tna,sti,0.102
p4,sg_36,tna,sti,0.0294355291465793
p4,sg_48,tna,sti,0.0214605776095748
p4,juv_15,tna,sti,0.107
p4,sg_14,tna,sti,0.0195306055129525
t,juv_3,tna,con,0.00980520636969243
t,juv_7,tna,con,0.018324139121923
t,juv_9,tna,con,0.00548723427617743
t,juv_12,tna,con,0.0103873804842084
t,sg_88,tna,con,0.0150729988929737
t,sg_90,tna,con,0.022
t,sg_93,tna,con,0.0148315028888352
t,sg_94,tna,con,0.02
t,sg_12,tna,con,0.0199204380063738
t,sg_18,tna,con,0.054
t,juv_4,tna,sti,0.0266617156259625
t,juv_5,tna,sti,0.0269349742062939
t,juv_6,tna,sti,0.0278291328419233
t,cj_124,tna,sti,0.042
t,juv_10,tna,sti,0.0272478731978005
t,juv_11,tna,sti,0.04
t,juv_14,tna,sti,0.029
t,sg_20,tna,sti,0.027
t,sg_21,tna,sti,0.038
t,sg_22,tna,sti,0.0278981695669751
t,sg_31,tna,sti,0.021685545357818
t,sg_36,tna,sti,0.0235926144055313
t,sg_48,tna,sti,0.018615561731689
t,juv_15,tna,sti,0.027883247564341
t,sg_14,tna,sti,0.032
ae,juv_1,vmh,con,NA
ae,juv_3,vmh,con,NA
ae,juv_7,vmh,con,NA
ae,juv_9,vmh,con,NA
ae,juv_12,vmh,con,NA
ae,sg_88,vmh,con,NA
ae,sg_90,vmh,con,NA
ae,sg_93,vmh,con,NA
ae,sg_94,vmh,con,NA
ae,sg_12,vmh,con,NA
ae,sg_18,vmh,con,NA
ae,juv_4,vmh,sti,0.0792645910200419
ae,juv_5,vmh,sti,0.0810578230364599
ae,juv_6,vmh,sti,0.085
ae,cj_124,vmh,sti,0.203
ae,juv_10,vmh,sti,0.0721767321498167
ae,juv_11,vmh,sti,0.197
ae,juv_14,vmh,sti,0.0857373986861975
ae,sg_20,vmh,sti,0.0950099313830974
ae,sg_21,vmh,sti,0.092149737300358
ae,sg_22,vmh,sti,0.0763342265683861
ae,sg_31,vmh,sti,0.0760018668156148
ae,sg_36,vmh,sti,0.0621094692825885
ae,sg_48,vmh,sti,0.089677559787052
ae,juv_15,vmh,sti,0.0893602545876988
ae,sg_14,vmh,sti,0.0936286515203894
b,juv_1,vmh,con,0.956
b,juv_3,vmh,con,0.245
b,juv_7,vmh,con,1.185
b,juv_9,vmh,con,1.733
b,juv_12,vmh,con,0.804
b,sg_88,vmh,con,0.339
b,sg_90,vmh,con,0.326
b,sg_93,vmh,con,0.396
b,sg_94,vmh,con,0.178
b,sg_12,vmh,con,0.835
b,sg_18,vmh,con,0.808
b,juv_4,vmh,sti,2.57
b,juv_5,vmh,sti,1.592
b,juv_6,vmh,sti,1.021
b,cj_124,vmh,sti,0.328
b,juv_10,vmh,sti,0.731
b,juv_11,vmh,sti,1.545
b,juv_14,vmh,sti,1.315
b,sg_20,vmh,sti,1.387
b,sg_21,vmh,sti,3.766
b,sg_22,vmh,sti,2.321
b,sg_31,vmh,sti,2.26
b,sg_36,vmh,sti,4.368
b,sg_48,vmh,sti,2.637
b,juv_15,vmh,sti,2.664
b,sg_14,vmh,sti,1.564
dhc,juv_1,vmh,con,0.084693878
dhc,juv_3,vmh,con,0.0386427660331759
dhc,juv_7,vmh,con,0.085714286
dhc,juv_9,vmh,con,0.036734694
dhc,juv_12,vmh,con,0.0384183017822784
dhc,sg_88,vmh,con,0.043877551
dhc,sg_90,vmh,con,0.0345864380968774
dhc,sg_93,vmh,con,0.0385006575053102
dhc,sg_94,vmh,con,0.0319135983399925
dhc,sg_12,vmh,con,0.0356647479818834
dhc,sg_18,vmh,con,0.0387265816237213
dhc,juv_4,vmh,sti,0.092857143
dhc,juv_5,vmh,sti,0.06122449
dhc,juv_6,vmh,sti,0.055102041
dhc,cj_124,vmh,sti,0.00483184730918622
dhc,juv_10,vmh,sti,0.040816327
dhc,juv_11,vmh,sti,0.053061224
dhc,juv_14,vmh,sti,0.036734694
dhc,sg_20,vmh,sti,0.01893568981418
dhc,sg_21,vmh,sti,0.0321830153996115
dhc,sg_22,vmh,sti,0.043877551
dhc,sg_31,vmh,sti,0.064285714
dhc,sg_36,vmh,sti,0.028571429
dhc,sg_48,vmh,sti,0.070408163
dhc,juv_15,vmh,sti,0.054081633
dhc,sg_14,vmh,sti,0.0212683720531507
p4,juv_1,vmh,con,NA
p4,juv_3,vmh,con,NA
p4,juv_7,vmh,con,NA
p4,juv_9,vmh,con,NA
p4,juv_12,vmh,con,NA
p4,sg_88,vmh,con,NA
p4,sg_90,vmh,con,NA
p4,sg_93,vmh,con,NA
p4,sg_94,vmh,con,NA
p4,sg_12,vmh,con,NA
p4,sg_18,vmh,con,NA
p4,juv_4,vmh,sti,0.067
p4,juv_5,vmh,sti,0.0559334154976696
p4,juv_6,vmh,sti,0.052
p4,cj_124,vmh,sti,0.0521071768081539
p4,juv_10,vmh,sti,0.0193995077392756
p4,juv_11,vmh,sti,0.142
p4,juv_14,vmh,sti,0.0354864928481435
p4,sg_20,vmh,sti,0.092
p4,sg_21,vmh,sti,0.151
p4,sg_22,vmh,sti,0.0544872204511173
p4,sg_31,vmh,sti,0.104
p4,sg_36,vmh,sti,0.0598122182090368
p4,sg_48,vmh,sti,0.0309857218755292
p4,juv_15,vmh,sti,0.113
p4,sg_14,vmh,sti,0.0552704969518561
t,juv_1,vmh,con,NA
t,juv_3,vmh,con,NA
t,juv_7,vmh,con,NA
t,juv_9,vmh,con,NA
t,juv_12,vmh,con,NA
t,sg_88,vmh,con,NA
t,sg_90,vmh,con,NA
t,sg_93,vmh,con,NA
t,sg_94,vmh,con,NA
t,sg_12,vmh,con,NA
t,sg_18,vmh,con,NA
t,juv_4,vmh,sti,0.038
t,juv_5,vmh,sti,0.0221482472464831
t,juv_6,vmh,sti,0.0210776844592202
t,cj_124,vmh,sti,0.0221198037212247
t,juv_10,vmh,sti,0.026
t,juv_11,vmh,sti,0.042
t,juv_14,vmh,sti,0.027
t,sg_20,vmh,sti,0.0148789469639768
t,sg_21,vmh,sti,0.0135726902565548
t,sg_22,vmh,sti,0.0219669893933467
t,sg_31,vmh,sti,0.0211012474028097
t,sg_36,vmh,sti,0.0183475407829579
t,sg_48,vmh,sti,0.0219568952007297
t,juv_15,vmh,sti,0.0213504327210016
t,sg_14,vmh,sti,0.02
ae,juv_3,vta,con,NA
ae,juv_7,vta,con,NA
ae,juv_9,vta,con,NA
ae,juv_12,vta,con,NA
ae,sg_88,vta,con,NA
ae,sg_90,vta,con,NA
ae,sg_93,vta,con,NA
ae,sg_94,vta,con,NA
ae,sg_12,vta,con,NA
ae,sg_18,vta,con,NA
ae,juv_4,vta,sti,NA
ae,juv_5,vta,sti,NA
ae,juv_6,vta,sti,NA
ae,juv_10,vta,sti,NA
ae,juv_11,vta,sti,NA
ae,juv_14,vta,sti,NA
ae,sg_20,vta,sti,NA
ae,sg_21,vta,sti,NA
ae,sg_22,vta,sti,NA
ae,sg_31,vta,sti,NA
ae,sg_36,vta,sti,NA
ae,sg_48,vta,sti,NA
ae,juv_15,vta,sti,NA
ae,sg_14,vta,sti,NA
b,juv_3,vta,con,0.18
b,juv_7,vta,con,1.233
b,juv_9,vta,con,1.722
b,juv_12,vta,con,0.521
b,sg_88,vta,con,0.47
b,sg_90,vta,con,0.258
b,sg_93,vta,con,0.448
b,sg_94,vta,con,0.177
b,sg_12,vta,con,1.1
b,sg_18,vta,con,1.103
b,juv_4,vta,sti,2.804
b,juv_5,vta,sti,2.5
b,juv_6,vta,sti,1.784
b,juv_10,vta,sti,0.841
b,juv_11,vta,sti,1.731
b,juv_14,vta,sti,1.297
b,sg_20,vta,sti,1.968
b,sg_21,vta,sti,4.554
b,sg_22,vta,sti,2.832
b,sg_31,vta,sti,2.565
b,sg_36,vta,sti,5.342
b,sg_48,vta,sti,3.254
b,juv_15,vta,sti,2.573
b,sg_14,vta,sti,1.136
dhc,juv_3,vta,con,0.0392127175962456
dhc,juv_7,vta,con,0.068367347
dhc,juv_9,vta,con,0.05
dhc,juv_12,vta,con,0.0396675365140211
dhc,sg_88,vta,con,0.054081633
dhc,sg_90,vta,con,0.0415612649877578
dhc,sg_93,vta,con,0.031632653
dhc,sg_94,vta,con,0.0322104742978575
dhc,sg_12,vta,con,0.058163265
dhc,sg_18,vta,con,0.087755102
dhc,juv_4,vta,sti,0.12244898
dhc,juv_5,vta,sti,0.117346939
dhc,juv_6,vta,sti,0.13877551
dhc,cj_124,vta,sti,0.037788181175866
dhc,juv_10,vta,sti,0.075510204
dhc,juv_11,vta,sti,0.06122449
dhc,juv_14,vta,sti,0.034693878
dhc,sg_20,vta,sti,0.037755102
dhc,sg_21,vta,sti,0.067346939
dhc,sg_22,vta,sti,0.092857143
dhc,sg_31,vta,sti,0.115306122
dhc,sg_36,vta,sti,0.090816327
dhc,sg_48,vta,sti,0.098979592
