,steroid,subject,matrix,condition,conc,tissue_weight
120,dht,sg_14,liver,sti,NA,2.04
121,e2,juv_1,liver,con,1.1,2.07
122,e2,juv_3,liver,con,0.463,1.93
123,e2,juv_7,liver,con,0.302,1.97
124,e2,juv_9,liver,con,1.196,1.93
125,e2,juv_12,liver,con,0.143,2.06
126,e2,sg_88,liver,con,0.476,1.96
127,e2,sg_90,liver,con,0.04551296,1.92
128,e2,sg_93,liver,con,0.079,1.9
129,e2,sg_94,liver,con,0.257,1.89
130,e2,sg_12,liver,con,0.062,2.05
131,e2,juv_4,liver,sti,0.217,1.85
132,e2,juv_5,liver,sti,0.266,1.97
133,e2,juv_6,liver,sti,0.075,2.04
134,e2,cj_124,liver,sti,0.32,1.83
135,e2,juv_10,liver,sti,0.052,2.01
136,e2,juv_11,liver,sti,0.56,2.01
137,e2,juv_14,liver,sti,1.444,1.95
138,e2,sg_20,liver,sti,0.041,1.97
139,e2,sg_21,liver,sti,0.055,1.93
140,e2,sg_22,liver,sti,0.051,1.99
141,e2,sg_31,liver,sti,0.142,1.83
142,e2,sg_36,liver,sti,0.163,2.03
143,e2,juv_15,liver,sti,0.52,1.99
144,e2,sg_14,liver,sti,0.143,2.04
145,e3,juv_1,liver,con,NA,2.07
146,e3,juv_3,liver,con,NA,1.93
147,e3,juv_7,liver,con,NA,1.97
148,e3,juv_9,liver,con,NA,1.93
149,e3,juv_12,liver,con,NA,2.06
150,e3,sg_88,liver,con,NA,1.96
151,e3,sg_90,liver,con,NA,1.92
152,e3,sg_93,liver,con,NA,1.9
153,e3,sg_94,liver,con,NA,1.89
154,e3,sg_12,liver,con,NA,2.05
155,e3,juv_4,liver,sti,NA,1.85
156,e3,juv_5,liver,sti,NA,1.97
157,e3,juv_6,liver,sti,NA,2.04
158,e3,cj_124,liver,sti,NA,1.83
159,e3,juv_10,liver,sti,NA,2.01
160,e3,juv_11,liver,sti,NA,2.01
161,e3,juv_14,liver,sti,NA,1.95
162,e3,sg_20,liver,sti,NA,1.97
163,e3,sg_21,liver,sti,NA,1.93
164,e3,sg_22,liver,sti,NA,1.99
165,e3,sg_31,liver,sti,NA,1.83
166,e3,sg_36,liver,sti,NA,2.03
167,e3,juv_15,liver,sti,NA,1.99
168,e3,sg_14,liver,sti,NA,2.04
169,p4,juv_1,liver,con,1.221,2.07
170,p4,juv_3,liver,con,1.429,1.93
171,p4,juv_7,liver,con,0.739,1.97
172,p4,juv_9,liver,con,1.81,1.93
173,p4,juv_12,liver,con,1.367,2.06
174,p4,sg_88,liver,con,1.027,1.96
175,p4,sg_90,liver,con,0.326,1.92
176,p4,sg_93,liver,con,0.683,1.9
177,p4,sg_94,liver,con,0.932,1.89
178,p4,sg_12,liver,con,0.137,2.05
179,p4,juv_4,liver,sti,0.464,1.85
180,p4,juv_5,liver,sti,0.816,1.97
181,p4,juv_6,liver,sti,0.146,2.04
182,p4,cj_124,liver,sti,0.469,1.83
183,p4,juv_10,liver,sti,0.067672907,2.01
184,p4,juv_11,liver,sti,0.384,2.01
185,p4,juv_14,liver,sti,0.446,1.95
186,p4,sg_20,liver,sti,0.214,1.97
187,p4,sg_21,liver,sti,0.238,1.93
188,p4,sg_22,liver,sti,0.129,1.99
189,p4,sg_31,liver,sti,0.188,1.83
190,p4,sg_36,liver,sti,0.365,2.03
191,p4,juv_15,liver,sti,1.346,1.99
192,p4,sg_14,liver,sti,0.377,2.04
193,p5,juv_1,liver,con,NA,2.07
194,p5,juv_3,liver,con,NA,1.93
195,p5,juv_7,liver,con,NA,1.97
196,p5,juv_9,liver,con,NA,1.93
197,p5,juv_12,liver,con,NA,2.06
198,p5,sg_88,liver,con,NA,1.96
199,p5,sg_90,liver,con,NA,1.92
200,p5,sg_93,liver,con,NA,1.9
201,p5,sg_94,liver,con,NA,1.89
202,p5,sg_12,liver,con,NA,2.05
203,p5,juv_4,liver,sti,NA,1.85
204,p5,juv_5,liver,sti,NA,1.97
205,p5,juv_6,liver,sti,NA,2.04
206,p5,cj_124,liver,sti,NA,1.83
207,p5,juv_10,liver,sti,NA,2.01
208,p5,juv_11,liver,sti,NA,2.01
209,p5,juv_14,liver,sti,NA,1.95
210,p5,sg_20,liver,sti,NA,1.97
211,p5,sg_21,liver,sti,NA,1.93
212,p5,sg_22,liver,sti,NA,1.99
213,p5,sg_31,liver,sti,NA,1.83
214,p5,sg_36,liver,sti,NA,2.03
215,p5,juv_15,liver,sti,NA,1.99
216,p5,sg_14,liver,sti,NA,2.04
217,t,juv_1,liver,con,0.037,2.07
218,t,juv_3,liver,con,0.019,1.93
219,t,juv_7,liver,con,0.011200706,1.97
220,t,juv_9,liver,con,0.104,1.93
221,t,juv_12,liver,con,0.027,2.06
222,t,sg_88,liver,con,0.134,1.96
223,t,sg_90,liver,con,0.018739217,1.92
224,t,sg_93,liver,con,0.02045586,1.9
225,t,sg_94,liver,con,0.006291393,1.89
226,t,sg_12,liver,con,0.020362578,2.05
227,t,juv_4,liver,sti,0.011169437,1.85
228,t,juv_5,liver,sti,0.002956981,1.97
229,t,juv_6,liver,sti,0.01,2.04
230,t,cj_124,liver,sti,0.017,1.83
231,t,juv_10,liver,sti,0.058,2.01
232,t,juv_11,liver,sti,0.048,2.01
233,t,juv_14,liver,sti,0.235,1.95
234,t,sg_20,liver,sti,0.005763,1.97
235,t,sg_21,liver,sti,0.016,1.93
236,t,sg_22,liver,sti,0.005838,1.99
237,t,sg_31,liver,sti,0.025,1.83
238,t,sg_36,liver,sti,0.009236202,2.03
239,t,juv_15,liver,sti,0.025,1.99
240,t,sg_14,liver,sti,0.005880617,2.04
241,ae,juv_1,pec,con,NA,3.88
242,ae,juv_3,pec,con,NA,4.2
243,ae,juv_7,pec,con,NA,4.1
244,ae,juv_9,pec,con,NA,3.99
245,ae,juv_12,pec,con,NA,4
246,ae,sg_88,pec,con,NA,4.1
247,ae,sg_90,pec,con,NA,4
248,ae,sg_93,pec,con,NA,3.74
249,ae,sg_94,pec,con,NA,4.15
250,ae,sg_12,pec,con,NA,4.14
251,ae,juv_4,pec,sti,NA,3.99
252,ae,juv_5,pec,sti,NA,4.06
253,ae,juv_6,pec,sti,NA,4.02
254,ae,cj_124,pec,sti,NA,4.02
255,ae,juv_10,pec,sti,NA,3.86
256,ae,juv_11,pec,sti,NA,4.1
257,ae,juv_14,pec,sti,NA,4.03
258,ae,sg_20,pec,sti,NA,4.21
259,ae,sg_21,pec,sti,NA,4.03
260,ae,sg_22,pec,sti,NA,4.17
261,ae,sg_31,pec,sti,NA,3.93
262,ae,sg_36,pec,sti,NA,4.19
263,ae,juv_15,pec,sti,NA,4.05
264,ae,sg_14,pec,sti,NA,3.9
265,ae2,juv_1,pec,con,NA,3.88
266,ae2,juv_3,pec,con,NA,4.2
267,ae2,juv_7,pec,con,NA,4.1
268,ae2,juv_9,pec,con,NA,3.99
269,ae2,juv_12,pec,con,NA,4
270,ae2,sg_88,pec,con,NA,4.1
271,ae2,sg_90,pec,con,NA,4
272,ae2,sg_93,pec,con,NA,3.74
273,ae2,sg_94,pec,con,NA,4.15
274,ae2,sg_12,pec,con,NA,4.14
275,ae2,juv_4,pec,sti,NA,3.99
276,ae2,juv_5,pec,sti,NA,4.06
277,ae2,juv_6,pec,sti,NA,4.02
278,ae2,cj_124,pec,sti,NA,4.02
279,ae2,juv_10,pec,sti,NA,3.86
280,ae2,juv_11,pec,sti,NA,4.1
281,ae2,juv_14,pec,sti,NA,4.03
282,ae2,sg_20,pec,sti,NA,4.21
283,ae2,sg_21,pec,sti,NA,4.03
284,ae2,sg_22,pec,sti,NA,4.17
285,ae2,sg_31,pec,sti,NA,3.93
286,ae2,sg_36,pec,sti,NA,4.19
287,ae2,juv_15,pec,sti,NA,4.05
288,ae2,sg_14,pec,sti,NA,3.9
289,b,juv_1,pec,con,0.802,3.88
290,b,juv_3,pec,con,0.163,4.2
291,b,juv_7,pec,con,1.755,4.1
292,b,juv_9,pec,con,1.368,3.99
293,b,juv_12,pec,con,0.901,4
294,b,sg_88,pec,con,0.739,4.1
295,b,sg_90,pec,con,0.27,4
296,b,sg_93,pec,con,0.469,3.74
297,b,sg_94,pec,con,0.138,4.15
298,b,sg_12,pec,con,0.596,4.14
299,b,juv_4,pec,sti,2.604,3.99
300,b,juv_5,pec,sti,2.056,4.06
301,b,juv_6,pec,sti,1.429,4.02
302,b,cj_124,pec,sti,1.698,4.02
303,b,juv_10,pec,sti,0.728,3.86
304,b,juv_11,pec,sti,1.693,4.1
305,b,juv_14,pec,sti,1.654,4.03
306,b,sg_20,pec,sti,0.992,4.21
307,b,sg_21,pec,sti,2.431,4.03
308,b,sg_22,pec,sti,1.363,4.17
309,b,sg_31,pec,sti,2.126,3.93
310,b,sg_36,pec,sti,4.52,4.19
311,b,juv_15,pec,sti,3.367,4.05
312,b,sg_14,pec,sti,0.92,3.9
313,dhc,juv_1,pec,con,0.11,3.88
314,dhc,juv_3,pec,con,0.038,4.2
315,dhc,juv_7,pec,con,0.099,4.1
316,dhc,juv_9,pec,con,0.071,3.99
317,dhc,juv_12,pec,con,0.053,4
318,dhc,sg_88,pec,con,0.198,4.1
319,dhc,sg_90,pec,con,0.044,4
320,dhc,sg_93,pec,con,0.081,3.74
321,dhc,sg_94,pec,con,0.011,4.15
322,dhc,sg_12,pec,con,0.023,4.14
323,dhc,juv_4,pec,sti,0.107,3.99
324,dhc,juv_5,pec,sti,0.074,4.06
325,dhc,juv_6,pec,sti,0.072,4.02
326,dhc,cj_124,pec,sti,0.114,4.02
327,dhc,juv_10,pec,sti,0.084,3.86
328,dhc,juv_11,pec,sti,0.082,4.1
329,dhc,juv_14,pec,sti,0.109,4.03
330,dhc,sg_20,pec,sti,0.071,4.21
331,dhc,sg_21,pec,sti,0.208,4.03
332,dhc,sg_22,pec,sti,0.08,4.17
333,dhc,sg_31,pec,sti,0.057,3.93
334,dhc,sg_36,pec,sti,0.109,4.19
335,dhc,juv_15,pec,sti,0.132,4.05
336,dhc,sg_14,pec,sti,0.096,3.9
337,dht,juv_1,pec,con,NA,3.88
338,dht,juv_3,pec,con,NA,4.2
339,dht,juv_7,pec,con,NA,4.1
340,dht,juv_9,pec,con,NA,3.99
341,dht,juv_12,pec,con,NA,4
342,dht,sg_88,pec,con,NA,4.1
343,dht,sg_90,pec,con,NA,4
344,dht,sg_93,pec,con,NA,3.74
345,dht,sg_94,pec,con,NA,4.15
346,dht,sg_12,pec,con,NA,4.14
347,dht,juv_4,pec,sti,NA,3.99
348,dht,juv_5,pec,sti,NA,4.06
349,dht,juv_6,pec,sti,NA,4.02
350,dht,cj_124,pec,sti,NA,4.02
351,dht,juv_10,pec,sti,NA,3.86
352,dht,juv_11,pec,sti,NA,4.1
353,dht,juv_14,pec,sti,NA,4.03
354,dht,sg_20,pec,sti,NA,4.21
355,dht,sg_21,pec,sti,NA,4.03
356,dht,sg_22,pec,sti,NA,4.17
357,dht,sg_31,pec,sti,NA,3.93
358,dht,sg_36,pec,sti,NA,4.19
359,dht,juv_15,pec,sti,NA,4.05
360,dht,sg_14,pec,sti,NA,3.9
361,e2,juv_1,pec,con,NA,3.88
362,e2,juv_3,pec,con,NA,4.2
363,e2,juv_7,pec,con,NA,4.1
364,e2,juv_9,pec,con,NA,3.99
365,e2,juv_12,pec,con,NA,4
366,e2,sg_88,pec,con,NA,4.1
367,e2,sg_90,pec,con,NA,4
368,e2,sg_93,pec,con,NA,3.74
369,e2,sg_94,pec,con,NA,4.15
370,e2,sg_12,pec,con,NA,4.14
371,e2,juv_4,pec,sti,NA,3.99
372,e2,juv_5,pec,sti,NA,4.06
373,e2,juv_6,pec,sti,NA,4.02
374,e2,cj_124,pec,sti,NA,4.02
375,e2,juv_10,pec,sti,NA,3.86
376,e2,juv_11,pec,sti,NA,4.1
377,e2,juv_14,pec,sti,NA,4.03
378,e2,sg_20,pec,sti,NA,4.21
379,e2,sg_21,pec,sti,NA,4.03
380,e2,sg_22,pec,sti,NA,4.17
381,e2,sg_31,pec,sti,NA,3.93
382,e2,sg_36,pec,sti,NA,4.19
383,e2,juv_15,pec,sti,NA,4.05
384,e2,sg_14,pec,sti,NA,3.9
