,steroid,subject,matrix,condition,conc,tissue_weight
590,dht,cj_124,adrenal,sti,NA,1.49
591,dht,juv_10,adrenal,sti,NA,1.63
592,dht,juv_11,adrenal,sti,NA,1.66
593,dht,juv_14,adrenal,sti,NA,1.44
594,dht,sg_20,adrenal,sti,NA,1.99
595,dht,sg_21,adrenal,sti,NA,1.51
596,dht,sg_22,adrenal,sti,NA,1.59
597,dht,sg_31,adrenal,sti,NA,1.43
598,dht,sg_36,adrenal,sti,NA,2.11
599,dht,juv_15,adrenal,sti,NA,2.06
600,dht,sg_14,adrenal,sti,NA,1.46
601,e2,juv_1,adrenal,con,NA,1.64
602,e2,juv_3,adrenal,con,NA,0.74
603,e2,juv_7,adrenal,con,NA,2.12
604,e2,juv_9,adrenal,con,NA,1.14
605,e2,juv_12,adrenal,con,NA,1.23
606,e2,sg_88,adrenal,con,NA,1.8
607,e2,sg_90,adrenal,con,NA,2.28
608,e2,sg_93,adrenal,con,NA,1.65
609,e2,sg_94,adrenal,con,NA,2.29
610,e2,sg_12,adrenal,con,NA,2.15
611,e2,juv_4,adrenal,sti,NA,1.88
612,e2,juv_5,adrenal,sti,NA,1.6
613,e2,juv_6,adrenal,sti,NA,1.22
614,e2,cj_124,adrenal,sti,NA,1.49
615,e2,juv_10,adrenal,sti,NA,1.63
616,e2,juv_11,adrenal,sti,NA,1.66
617,e2,juv_14,adrenal,sti,NA,1.44
618,e2,sg_20,adrenal,sti,NA,1.99
619,e2,sg_21,adrenal,sti,NA,1.51
620,e2,sg_22,adrenal,sti,NA,1.59
621,e2,sg_31,adrenal,sti,NA,1.43
622,e2,sg_36,adrenal,sti,NA,2.11
623,e2,juv_15,adrenal,sti,NA,2.06
624,e2,sg_14,adrenal,sti,NA,1.46
625,e3,juv_1,adrenal,con,0.096,1.64
626,e3,juv_3,adrenal,con,0.095,0.74
627,e3,juv_7,adrenal,con,0.013649382,2.12
628,e3,juv_9,adrenal,con,0.179,1.14
629,e3,juv_12,adrenal,con,0.047,1.23
630,e3,sg_88,adrenal,con,0.046,1.8
631,e3,sg_90,adrenal,con,0.018427967,2.28
632,e3,sg_93,adrenal,con,0.033,1.65
633,e3,sg_94,adrenal,con,0.014,2.29
634,e3,sg_12,adrenal,con,0.024,2.15
635,e3,juv_4,adrenal,sti,0.021,1.88
636,e3,juv_5,adrenal,sti,0.071,1.6
637,e3,juv_6,adrenal,sti,0.056,1.22
638,e3,cj_124,adrenal,sti,0.088,1.49
639,e3,juv_10,adrenal,sti,0.014,1.63
640,e3,juv_11,adrenal,sti,0.045,1.66
641,e3,juv_14,adrenal,sti,0.009019866,1.44
642,e3,sg_20,adrenal,sti,0.019218658,1.99
643,e3,sg_21,adrenal,sti,0.033,1.51
644,e3,sg_22,adrenal,sti,0.034,1.59
645,e3,sg_31,adrenal,sti,0.013970926,1.43
646,e3,sg_36,adrenal,sti,0.032,2.11
647,e3,juv_15,adrenal,sti,0.026,2.06
648,e3,sg_14,adrenal,sti,0.036,1.46
649,p4,juv_1,adrenal,con,4024.727,1.64
650,p4,juv_3,adrenal,con,2329.669,0.74
651,p4,juv_7,adrenal,con,2906.218,2.12
652,p4,juv_9,adrenal,con,8116.034,1.14
653,p4,juv_12,adrenal,con,3858.45,1.23
654,p4,sg_88,adrenal,con,1414.733,1.8
655,p4,sg_90,adrenal,con,1426.805,2.28
656,p4,sg_93,adrenal,con,3228.233,1.65
657,p4,sg_94,adrenal,con,883.476,2.29
658,p4,sg_12,adrenal,con,2912.422,2.15
659,p4,juv_4,adrenal,sti,4237.614,1.88
660,p4,juv_5,adrenal,sti,6435.757,1.6
661,p4,juv_6,adrenal,sti,4936.351,1.22
662,p4,cj_124,adrenal,sti,2473.777,1.49
663,p4,juv_10,adrenal,sti,1212.861,1.63
664,p4,juv_11,adrenal,sti,5351.472,1.66
665,p4,juv_14,adrenal,sti,506.343,1.44
666,p4,sg_20,adrenal,sti,2633.192,1.99
667,p4,sg_21,adrenal,sti,2324.74,1.51
668,p4,sg_22,adrenal,sti,3536.375,1.59
669,p4,sg_31,adrenal,sti,1722.097,1.43
670,p4,sg_36,adrenal,sti,3089.839,2.11
671,p4,juv_15,adrenal,sti,2232.334,2.06
672,p4,sg_14,adrenal,sti,5385.802,1.46
673,p5,juv_1,adrenal,con,751.331,1.64
674,p5,juv_3,adrenal,con,626.77,0.74
675,p5,juv_7,adrenal,con,221.726,2.12
676,p5,juv_9,adrenal,con,700.062,1.14
677,p5,juv_12,adrenal,con,258.552,1.23
678,p5,sg_88,adrenal,con,374.383,1.8
679,p5,sg_90,adrenal,con,377.721,2.28
680,p5,sg_93,adrenal,con,1039.734,1.65
681,p5,sg_94,adrenal,con,337.943,2.29
682,p5,sg_12,adrenal,con,201.626,2.15
683,p5,juv_4,adrenal,sti,589.16,1.88
684,p5,juv_5,adrenal,sti,893.502,1.6
685,p5,juv_6,adrenal,sti,482.633,1.22
686,p5,cj_124,adrenal,sti,312.926,1.49
687,p5,juv_10,adrenal,sti,209.789,1.63
688,p5,juv_11,adrenal,sti,582.496,1.66
689,p5,juv_14,adrenal,sti,196.084,1.44
690,p5,sg_20,adrenal,sti,430.041,1.99
691,p5,sg_21,adrenal,sti,69.7,1.51
692,p5,sg_22,adrenal,sti,576.228,1.59
693,p5,sg_31,adrenal,sti,517.92,1.43
694,p5,sg_36,adrenal,sti,324.861,2.11
695,p5,juv_15,adrenal,sti,91.705,2.06
696,p5,sg_14,adrenal,sti,367.058,1.46
697,t,juv_1,adrenal,con,2.456,1.64
698,t,juv_3,adrenal,con,2.424,0.74
699,t,juv_7,adrenal,con,0.856,2.12
700,t,juv_9,adrenal,con,3.028,1.14
701,t,juv_12,adrenal,con,1.731,1.23
702,t,sg_88,adrenal,con,1.468,1.8
703,t,sg_90,adrenal,con,0.982,2.28
704,t,sg_93,adrenal,con,1.533,1.65
705,t,sg_94,adrenal,con,0.548,2.29
706,t,sg_12,adrenal,con,1.204,2.15
707,t,juv_4,adrenal,sti,1.657,1.88
708,t,juv_5,adrenal,sti,3.6,1.6
709,t,juv_6,adrenal,sti,3.188,1.22
710,t,cj_124,adrenal,sti,1.78,1.49
711,t,juv_10,adrenal,sti,1.078,1.63
712,t,juv_11,adrenal,sti,3.687,1.66
713,t,juv_14,adrenal,sti,0.518,1.44
714,t,sg_20,adrenal,sti,2.022,1.99
715,t,sg_21,adrenal,sti,2.083,1.51
716,t,sg_22,adrenal,sti,1.518,1.59
717,t,sg_31,adrenal,sti,1.023,1.43
718,t,sg_36,adrenal,sti,1.41,2.11
719,t,juv_15,adrenal,sti,1.808,2.06
720,t,sg_14,adrenal,sti,1.93,1.46
721,ae,juv_1,testes,con,NA,0.93
722,ae,juv_3,testes,con,NA,1.21
723,ae,juv_7,testes,con,NA,0.15
724,ae,juv_9,testes,con,NA,0.49
725,ae,juv_12,testes,con,NA,0.74
726,ae,sg_88,testes,con,NA,1.16
727,ae,sg_90,testes,con,NA,1.02
728,ae,sg_93,testes,con,NA,0.84
729,ae,sg_94,testes,con,NA,1
730,ae,sg_12,testes,con,NA,0.51
731,ae,juv_4,testes,sti,1.053153153,1.11
732,ae,juv_5,testes,sti,0.008287475,0.71
733,ae,juv_6,testes,sti,0.133013779,1.08
734,ae,cj_124,testes,sti,0.196808511,0.94
735,ae,juv_10,testes,sti,0.089397092,0.64
736,ae,juv_11,testes,sti,8.469230769,0.78
737,ae,juv_14,testes,sti,11.43596491,1.14
738,ae,sg_20,testes,sti,0.678431373,1.02
739,ae,sg_21,testes,sti,1.598,1.21
740,ae,sg_22,testes,sti,0.072,1.18
741,ae,sg_31,testes,sti,0.032049195,0.56
742,ae,sg_36,testes,sti,3.439,0.99
743,ae,juv_15,testes,sti,18.571,0.41
744,ae,sg_14,testes,sti,0.097100685,0.68
745,ae2,juv_1,testes,con,NA,0.93
746,ae2,juv_3,testes,con,NA,1.21
747,ae2,juv_7,testes,con,NA,0.15
748,ae2,juv_9,testes,con,NA,0.49
749,ae2,juv_12,testes,con,NA,0.74
750,ae2,sg_88,testes,con,NA,1.16
751,ae2,sg_90,testes,con,NA,1.02
752,ae2,sg_93,testes,con,NA,0.84
753,ae2,sg_94,testes,con,NA,1
754,ae2,sg_12,testes,con,NA,0.51
755,ae2,juv_4,testes,sti,0,1.11
756,ae2,juv_5,testes,sti,0,0.71
757,ae2,juv_6,testes,sti,0,1.08
758,ae2,cj_124,testes,sti,0,0.94
759,ae2,juv_10,testes,sti,0,0.64
760,ae2,juv_11,testes,sti,0,0.78
761,ae2,juv_14,testes,sti,0,1.14
762,ae2,sg_20,testes,sti,0,1.02
763,ae2,sg_21,testes,sti,0,1.21
764,ae2,sg_22,testes,sti,0,1.18
765,ae2,sg_31,testes,sti,0,0.56
766,ae2,sg_36,testes,sti,0,0.99
767,ae2,juv_15,testes,sti,0,0.41
768,ae2,sg_14,testes,sti,0,0.68
769,b,juv_1,testes,con,5.112,0.93
770,b,juv_3,testes,con,3.091,1.21
771,b,juv_7,testes,con,4.54,0.15
772,b,juv_9,testes,con,25.814,0.49
773,b,juv_12,testes,con,0.062291542,0.74
774,b,sg_88,testes,con,2.662,1.16
775,b,sg_90,testes,con,0.801,1.02
776,b,sg_93,testes,con,7.096,0.84
777,b,sg_94,testes,con,0.561,1
778,b,sg_12,testes,con,4.475,0.51
779,b,juv_4,testes,sti,2.416,1.11
780,b,juv_5,testes,sti,7.689,0.71
781,b,juv_6,testes,sti,2.701,1.08
782,b,cj_124,testes,sti,1.354,0.94
783,b,juv_10,testes,sti,1.261,0.64
784,b,juv_11,testes,sti,6.814,0.78
785,b,juv_14,testes,sti,1.366,1.14
786,b,sg_20,testes,sti,4.214,1.02
787,b,sg_21,testes,sti,11.755,1.21
788,b,sg_22,testes,sti,1.375,1.18
789,b,sg_31,testes,sti,2.946,0.56
790,b,sg_36,testes,sti,1.219,0.99
791,b,juv_15,testes,sti,4.546,0.41
792,b,sg_14,testes,sti,1.799,0.68
793,dhc,juv_1,testes,con,0.573,0.93
794,dhc,juv_3,testes,con,0.286,1.21
795,dhc,juv_7,testes,con,1,0.15
796,dhc,juv_9,testes,con,1.22,0.49
797,dhc,juv_12,testes,con,0.135,0.74
798,dhc,sg_88,testes,con,0.425,1.16
799,dhc,sg_90,testes,con,0.238,1.02
800,dhc,sg_93,testes,con,2.894,0.84
801,dhc,sg_94,testes,con,0.094,1
802,dhc,sg_12,testes,con,0.502,0.51
803,dhc,juv_4,testes,sti,0.3,1.11
804,dhc,juv_5,testes,sti,0.29,0.71
805,dhc,juv_6,testes,sti,0.338,1.08
806,dhc,cj_124,testes,sti,0.253,0.94
807,dhc,juv_10,testes,sti,0.27,0.64
808,dhc,juv_11,testes,sti,3.294,0.78
809,dhc,juv_14,testes,sti,1.341,1.14
810,dhc,sg_20,testes,sti,0.27,1.02
811,dhc,sg_21,testes,sti,0.75,1.21
812,dhc,sg_22,testes,sti,0.175,1.18
813,dhc,sg_31,testes,sti,0.321,0.56
814,dhc,sg_36,testes,sti,0.179,0.99
815,dhc,juv_15,testes,sti,0.302,0.41
816,dhc,sg_14,testes,sti,0.082,0.68
817,dht,juv_1,testes,con,NA,0.93
818,dht,juv_3,testes,con,NA,1.21
819,dht,juv_7,testes,con,NA,0.15
820,dht,juv_9,testes,con,NA,0.49
821,dht,juv_12,testes,con,NA,0.74
822,dht,sg_88,testes,con,NA,1.16
823,dht,sg_90,testes,con,NA,1.02
824,dht,sg_93,testes,con,NA,0.84
825,dht,sg_94,testes,con,NA,1
826,dht,sg_12,testes,con,NA,0.51
827,dht,juv_4,testes,sti,0.06036036,1.11
828,dht,juv_5,testes,sti,0.044753274,0.71
829,dht,juv_6,testes,sti,0.040514721,1.08
830,dht,cj_124,testes,sti,0.024973753,0.94
831,dht,juv_10,testes,sti,0.03506685,0.64
832,dht,juv_11,testes,sti,0.031874777,0.78
833,dht,juv_14,testes,sti,0.049234264,1.14
834,dht,sg_20,testes,sti,0.060784314,1.02
835,dht,sg_21,testes,sti,0.050413223,1.21
836,dht,sg_22,testes,sti,0.045977818,1.18
837,dht,sg_31,testes,sti,0.038577123,0.56
838,dht,sg_36,testes,sti,0.053,0.99
839,dht,juv_15,testes,sti,0.222,0.41
840,dht,sg_14,testes,sti,0.033054495,0.68
841,e2,juv_1,testes,con,NA,0.93
842,e2,juv_3,testes,con,NA,1.21
843,e2,juv_7,testes,con,NA,0.15
844,e2,juv_9,testes,con,NA,0.49
845,e2,juv_12,testes,con,NA,0.74
846,e2,sg_88,testes,con,NA,1.16
847,e2,sg_90,testes,con,NA,1.02
848,e2,sg_93,testes,con,NA,0.84
849,e2,sg_94,testes,con,NA,1
850,e2,sg_12,testes,con,NA,0.51
851,e2,juv_4,testes,sti,NA,1.11
852,e2,juv_5,testes,sti,NA,0.71
853,e2,juv_6,testes,sti,NA,1.08
854,e2,cj_124,testes,sti,NA,0.94
855,e2,juv_10,testes,sti,NA,0.64
856,e2,juv_11,testes,sti,NA,0.78
857,e2,juv_14,testes,sti,NA,1.14
858,e2,sg_20,testes,sti,NA,1.02
859,e2,sg_21,testes,sti,NA,1.21
860,e2,sg_22,testes,sti,NA,1.18
861,e2,sg_31,testes,sti,NA,0.56
862,e2,sg_36,testes,sti,NA,0.99
863,e2,juv_15,testes,sti,NA,0.41
864,e2,sg_14,testes,sti,NA,0.68
865,e3,juv_1,testes,con,NA,0.93
866,e3,juv_3,testes,con,NA,1.21
867,e3,juv_7,testes,con,NA,0.15
868,e3,juv_9,testes,con,NA,0.49
869,e3,juv_12,testes,con,NA,0.74
870,e3,sg_88,testes,con,NA,1.16
871,e3,sg_90,testes,con,NA,1.02
872,e3,sg_93,testes,con,NA,0.84
873,e3,sg_94,testes,con,NA,1
874,e3,sg_12,testes,con,NA,0.51
875,e3,juv_4,testes,sti,NA,1.11
876,e3,juv_5,testes,sti,NA,0.71
877,e3,juv_6,testes,sti,NA,1.08
878,e3,cj_124,testes,sti,NA,0.94
879,e3,juv_10,testes,sti,NA,0.64
880,e3,juv_11,testes,sti,NA,0.78
881,e3,juv_14,testes,sti,NA,1.14
882,e3,sg_20,testes,sti,NA,1.02
883,e3,sg_21,testes,sti,NA,1.21
884,e3,sg_22,testes,sti,NA,1.18
885,e3,sg_31,testes,sti,NA,0.56
886,e3,sg_36,testes,sti,NA,0.99
887,e3,juv_15,testes,sti,NA,0.41
888,e3,sg_14,testes,sti,NA,0.68
889,p4,juv_1,testes,con,2.79,0.93
890,p4,juv_3,testes,con,1.043,1.21
891,p4,juv_7,testes,con,10.993,0.15
892,p4,juv_9,testes,con,13.627,0.49
893,p4,juv_12,testes,con,2.224,0.74
894,p4,sg_88,testes,con,0.853,1.16
895,p4,sg_90,testes,con,1.213,1.02
896,p4,sg_93,testes,con,2.025,0.84
897,p4,sg_94,testes,con,0.845,1
898,p4,sg_12,testes,con,3.059,0.51
899,p4,juv_4,testes,sti,2.373,1.11
900,p4,juv_5,testes,sti,3.554,0.71
901,p4,juv_6,testes,sti,1.707,1.08
902,p4,cj_124,testes,sti,1.363,0.94
903,p4,juv_10,testes,sti,7.072,0.64
904,p4,juv_11,testes,sti,4.69,0.78
905,p4,juv_14,testes,sti,0.936,1.14
906,p4,sg_20,testes,sti,1.712,1.02
907,p4,sg_21,testes,sti,3.265,1.21
908,p4,sg_22,testes,sti,1.514,1.18
909,p4,sg_31,testes,sti,1.521,0.56
910,p4,sg_36,testes,sti,1.703,0.99
911,p4,juv_15,testes,sti,3.485,0.41
912,p4,sg_14,testes,sti,5.232,0.68
913,p5,juv_1,testes,con,NA,0.93
914,p5,juv_3,testes,con,NA,1.21
915,p5,juv_7,testes,con,NA,0.15
916,p5,juv_9,testes,con,NA,0.49
917,p5,juv_12,testes,con,NA,0.74
918,p5,sg_88,testes,con,NA,1.16
919,p5,sg_90,testes,con,NA,1.02
920,p5,sg_93,testes,con,NA,0.84
921,p5,sg_94,testes,con,NA,1
922,p5,sg_12,testes,con,NA,0.51
923,p5,juv_4,testes,sti,4.43987767,1.11
924,p5,juv_5,testes,sti,1.559291963,0.71
925,p5,juv_6,testes,sti,3.553038741,1.08
926,p5,cj_124,testes,sti,3.53245249,0.94
927,p5,juv_10,testes,sti,6.281558665,0.64
928,p5,juv_11,testes,sti,21.33205128,0.78
929,p5,juv_14,testes,sti,9.437719298,1.14
930,p5,sg_20,testes,sti,5.017647059,1.02
931,p5,sg_21,testes,sti,4.896895895,1.21
932,p5,sg_22,testes,sti,2.232987186,1.18
933,p5,sg_31,testes,sti,3.622222162,0.56
934,p5,sg_36,testes,sti,28.61212121,0.99
935,p5,juv_15,testes,sti,23.44634146,0.41
936,p5,sg_14,testes,sti,3.379556765,0.68
937,t,juv_1,testes,con,0.095,0.93
938,t,juv_3,testes,con,0.019,1.21
939,t,juv_7,testes,con,0.933,0.15
940,t,juv_9,testes,con,0.102,0.49
941,t,juv_12,testes,con,0.332,0.74
942,t,sg_88,testes,con,0.002,1.16
943,t,sg_90,testes,con,0.000318788,1.02
944,t,sg_93,testes,con,0.745,0.84
945,t,sg_94,testes,con,0.192,1
946,t,sg_12,testes,con,0.000658305,0.51
947,t,juv_4,testes,sti,4.676,1.11
948,t,juv_5,testes,sti,0.161,0.71
949,t,juv_6,testes,sti,0.071,1.08
950,t,cj_124,testes,sti,1.583,0.94
951,t,juv_10,testes,sti,0.122,0.64
952,t,juv_11,testes,sti,12.197,0.78
953,t,juv_14,testes,sti,13.88,1.14
954,t,sg_20,testes,sti,4,1.02
955,t,sg_21,testes,sti,3.449,1.21
956,t,sg_22,testes,sti,0.101,1.18
957,t,sg_31,testes,sti,0.020371839,0.56
958,t,sg_36,testes,sti,10.274,0.99
959,t,juv_15,testes,sti,38.171,0.41
960,t,sg_14,testes,sti,0.018,0.68
